run_date,engine,id,subject,query,answerable,ai_answer_present,ai_citation_class,ai_primary_source,statcan_organic_rank,answer_quality_note
2026-07-18,bing,LAB-005,labour,unemployment rate canada,fully,yes,republisher,tradingeconomics.com,2,"Correct number (6.5% June 2026) but attributed to Trading Economics; StatCan tables rank 2 and 4 organically"
2026-07-18,bing,LAB-010,labour,gender pay gap canada,fully,yes,direct,statcan.gc.ca,1,"Direct cite of StatCan o1/plus article (Mar 2026); current and correct; the cited artifact is an article, not table 14100324"
2026-07-18,bing,LAB-020,labour,how many canadians do gig work,microdata_only,yes,none,madeinca.ca,3,"Headline '7.3M / 22%' from SEO site + H&R Block-style commercial survey; StatCan's measured ~871k (2022) relegated to secondary; ~8x discrepancy"
2026-07-18,bing,LAB-024,labour,unemployment rate for recent immigrants in toronto,partially,yes,none,torontomu.ca,2,"National immigrant rate (11%) presented as Toronto figure; Bing snippet flags StatCan table as 'Missing: toronto' — granularity gap visible in SERP"
2026-07-18,bing,DIG-002,digital_economy_and_society,average screen time canada,partially,yes,direct,globalnews.ca+statcan.gc.ca,2,"Anchored on Mar 2026 StatCan study via Global News; never answers the asked 'average hours' because no such StatCan number exists"
2026-07-18,bing,DIG-009,digital_economy_and_society,social media use in canada by age,microdata_only,yes,none,madeinca.ca+theglobalstatistics.com,2,"Built from two SEO farms; internally incoherent percentages; StatCan CIUS article ranks 2 but contributes nothing"
2026-07-18,bing,DIG-014,digital_economy_and_society,how many businesses in canada use artificial intelligence,fully,yes,direct,statcan.gc.ca,1,"Direct cite but STALE: quotes 12.2% (Q2 2025) while StatCan's Jun 2026 release (19.2%) ranks #2 on the same page"
2026-07-18,bing,DIG-012,digital_economy_and_society,e-commerce sales canada,partially,yes,none,madeinca.ca+statista.com,8,"Contradictory number salad ($3.9B/mo, $108B, US$3.14B, 6.1%, $90B); StatCan absent from answer — table discontinued 2022"
2026-07-18,bing,SOC-005,society_and_community,loneliness in canada statistics,fully,yes,indirect,cmha.ca,1,"Quotes 2021 figure (13%) via CMHA; the current-to-2024 StatCan table ranks #1 organically; open.canada.ca mirror of same table also surfaces"
2026-07-18,bing,SOC-010,society_and_community,do canadians trust the government,fully,no,none,,none,"No AI box; top 10 owned by Ekos/Edelman/think-tanks; StatCan's current Confidence in Institutions table (45100073, 2024) absent entirely"
2026-07-18,bing,SOC-022,society_and_community,how many close friends does the average canadian have,partially,yes,direct,statcan.gc.ca,1,"Direct cite, rank 1 — but the number is 2013 GSS served as current fact, no date qualifier"
2026-07-18,bing,SOC-024,society_and_community,who does more housework men or women canada,fully,yes,indirect,vanierinstitute.ca,6,"Correct direction; sourced via think-tank and news analyses of StatCan data; TUS table itself invisible"
