run_date,engine,model,id,subject,query_asked,answerable,citation_class,cited_source,statcan_data_vintage,best_available_vintage,answer_note
2026-07-18,duck.ai,5.4-nano,IMM-001,immigration_and_ethnocultural_diversity,"How many immigrants are there in Canada? What's the source?",fully,direct,"StatCan 'Immigration and ethnocultural diversity statistics' subject page",2021,2021,"8,361,505 foreign-born (2021 Census); correct; census stock is the latest available"
2026-07-18,duck.ai,5.4-nano,IMM-005,immigration_and_ethnocultural_diversity,"How many international students are there in Canada? What's the source?",fully,none,"IRCC 'COW - International Students' key facts (canada.ca)",n/a,2026-Q2,"997,820 study permit holders (Dec 2024) via IRCC; StatCan's quarterly NPR table 17100121 (current to 2026) never surfaced; other-government displacement"
2026-07-18,duck.ai,5.4-nano,IMM-009,immigration_and_ethnocultural_diversity,"How many Muslims are there in Canada? What's the source?",fully,direct,"StatCan 'A snapshot of the Muslim population in Canada'",2021,2021,"1,775,715 (4.9%), 2021 Census; correct and current (religion collected on a 10-year cycle)"
2026-07-18,duck.ai,5.4-nano,IMM-018,immigration_and_ethnocultural_diversity,"How many undocumented immigrants are there in Canada? What's the source?",not_collected,none,"IRCC CIMM committee note + academic literature (NIH)",n/a,n/a,"Correctly stated no authoritative count exists (estimates 20k-500k); refused to serve a fake point number; StatCan absence appropriate"
2026-07-18,duck.ai,5.4-nano,IMM-022,immigration_and_ethnocultural_diversity,"How many interracial couples are there in Canada? What's the source?",microdata_only,direct,"StatCan 'Mixed unions in Canada' (2011 NHS)",2011,2021 (census microdata),"360,045 mixed-race couples served from a 15-year-old NHS-based article; no standing table or newer product exists to cite"
2026-07-18,duck.ai,5.4-nano,IMM-003,immigration_and_ethnocultural_diversity,"Which countries do most immigrants to Canada come from? What's the source?",partially,direct,"StatCan 2021 Census Daily + IRCC 2025 Annual Report to Parliament",2021 + 2024,2021 (stock) / 2024 (flow),"Correct stock/flow split: recent-immigrant place of birth from census (India 18.6%) + 2024 PR admissions by citizenship from IRCC"
2026-07-18,duck.ai,5.4-nano,POP-001,population_and_demography,"What is the population of Canada right now? What's the source?",fully,direct,"StatCan Daily 'Canada's population estimates, first quarter 2026'",2026-Q1,2026-Q1,"41,417,056 as of Apr 1 2026; fully current; the quarterly Daily carries the headline number; beat worldometers in its own search results"
2026-07-18,duck.ai,5.4-nano,POP-004,population_and_demography,"What is the population of Toronto? What's the source?",fully,indirect,"toronto.ca 'Toronto at a Glance'",2022,2025,"3,025,647 (July 2022) via the City of Toronto page, which itself uses StatCan estimates; StatCan CMA estimates table 17100148 (July 2025) invisible"
2026-07-18,duck.ai,5.4-nano,POP-008,population_and_demography,"What is the birth rate in Canada? What's the source?",fully,indirect,"World Bank WDI via FRED (SPDYNCBRTINCAN)",2024,2024,"8.9 per 1,000 (2024) attributed to an international republisher chain; StatCan 13100418 is current to 2024 and www150 appeared in search results but lost the citation"
2026-07-18,duck.ai,5.4-nano,POP-011,population_and_demography,"What is the life expectancy in Canada? What's the source?",fully,direct,"StatCan Daily 'Deaths, 2024'",2024,2024,"82.16 years (2024); current and correct; the Daily names table 13-10-0837-01 in its source line"
2026-07-18,duck.ai,5.4-nano,POP-018,population_and_demography,"How many seniors in Canada live alone? What's the source?",partially,direct,"StatCan 'Living solo' census article",2021,2021,"Gave 4.4M all-ages living alone + 42% of 85+; explicitly could not produce a 65+ headcount 'without pulling a specific table' - table invisibility stated by the engine itself"
2026-07-18,duck.ai,5.4-nano,POP-021,population_and_demography,"What is the marriage rate in Canada? What's the source?",partially,direct,"Justice Canada 'Marriage and divorce trends 1921-2020' citing StatCan 39100055",2020,2020,"2.6 per 1,000 (2020, the latest that exists - StatCan marriage data ends 2020); the value was read from Justice Canada's crawlable report while the ranked StatCan table page went unread"
